掙,掙,挣,掙著,挣着,掙著書,挣著书,掙著作,挣著作,掙著名,挣著名,掙著錄,挣著录,掙著稱,挣著称,掙著者,挣著者,掙著述,挣著述
掛,掛,挂,掛著,挂着
採,採,采
掽,掽,碰
揀,揀,拣
揑,揑,捏
揚,揚,扬
換,換,换
揫,揫,揪
揮,揮,挥,揮著,挥着,揮著作,挥著作,揮著名,挥著名,揮著錄,挥著录,揮著稱,挥著称,揮著者,挥著者,揮著述,挥著述
揷,揷,插
揹,揹,背
搆,搆,构
搇,搇,揿
搉,搉,榷
損,損,损
搖,搖,摇
搗,搗,捣
搤,搤,扼
搥,搥,捶,搥打,搥打,搥胸頓足,搥胸顿足
搨,搨,拓
搯,搯,掏
搵,搵,揾
搶,搶,抢
搾,搾,榨
摃,摃,扛
摋,摋,𢫬
摑,摑,掴
摜,摜,掼
摟,摟,搂,摟著,搂着,摟著作,搂著作,摟著名,搂著名,摟著錄,搂著录,摟著稱,搂著称,摟著者,搂著者,摟著述,搂著述
摯,摯,挚
摳,摳,抠
摶,摶,抟
摺,摺,折
摻,摻,掺
撈,撈,捞
撏,撏,挦
撐,撐,撑
撓,撓,挠
撝,撝,㧑
撟,撟,挢
撡,撡,操
撣,撣,掸
撥,撥,拨
撦,撦,扯
撫,撫,抚
撲,撲,扑
撳,撳,揿
撻,撻,挞
撾,撾,挝
撿,撿,捡
擁,擁,拥
擄,擄,掳
擇,擇,择
擊,擊,击
擋,擋,挡,擋著,挡着,擋著作,挡著作,擋著名,挡著名,擋著錄,挡著录,擋著稱,挡著称,擋著者,挡著者,擋著述,挡著述
擓,擓,㧟
擔,擔,担,擔著,担着
擕,擕,携
據,據,据,據著,据着,據著書,据著书,據著作,据著作,據著名,据著名,據著錄,据著录,據著稱,据著称,據著者,据著者,據著述,据著述
擠,擠,挤
擣,擣,𢭏
擧,擧,举
擬,擬,拟
擯,擯,摈
擰,擰,拧
擱,擱,搁
擲,擲,掷
擴,擴,扩
擷,擷,撷
擺,擺,摆,擺著,摆着,擺著作,摆著作,擺著名,摆著名,擺著錄,摆著录,擺著稱,摆著称,擺著者,摆著者,擺著述,摆著述
擻,擻,擞
擼,擼,撸
擽,擽,㧰
擾,擾,扰
攄,攄,摅
攆,攆,撵
攏,攏,拢
攔,攔,拦
攖,攖,撄
攙,攙,搀
攛,攛,撺
攜,攜,携,攜帶型,便携式
攝,攝,摄
攢,攢,攒
攣,攣,挛
攤,攤,摊
攩,攩,挡
攪,攪,搅
攬,攬,揽
攷,攷,考
敂,敂,叩
敍,敍,叙
敗,敗,败
敘,敘,叙
敵,敵,敌
